order,english,korean,spanish
sign in google play,Sign in to Google Play Game Service,게임 서비스 로그인이 필요합니다.,Inicia sesión en tu cuenta de Google Play
sign in game center,Sign in to Game Center,게임 센터 로그인이 필요합니다.,Inicia sesión en tu cuenta de Game Center
effect on,EFFECT ON,효과음 켜짐,EFECTOS: SÍ
effect off,EFFECT OFF,효과음 꺼짐,EFECTOS: NO
music on,MUSIC ON,배경음 켜짐,MÚSICA: SÍ
music off,MUSIC OFF,배경음 꺼짐,MÚSICA: NO
never show,Never show,다시 보지 않기,No volver a mostrar
rate game,"Please, rate this game.",게임을 평가해주세요.,"Por favor, valora este juego."
enjoy game,Enjoying Cartoon Craft?,카툰 크래프트 재미있으신가요?,¿Te gusta Cartoon Craft?
select all,ALL FORCES,전 병력 선택,TODAS LAS FUERZAS
select screen,FORCES IN SCREEN,화면 내 병력 선택,FUERZAS EN PANTALLA
later,Later,나중에,Más tarde
choose support,Get Support Force,지원 병력 선택,Consigue fuerzas de apoyo
overwrite save data,Data exists on the slot. Do you want to overwrite?,저장된 데이터가 있습니다. 덮어쓰기 하시겠습니까?,Hay información en la ranura. ¿Quieres sobreescribirla?
load data,Do you want to play the saved game?,저장된 게임을 플레이하시겠습니까?,¿Quieres jugar la partida guardada?
gold left,Gold Left: %d,남은 금: %d,Oro restante: %d
next,Next,다음,Siguiente 
not available on this stage,Not available on this stage,이 스테이지에서는 사용할 수 없습니다,No disponible en este nivel
not enough gold,Not enough gold,금이 부족합니다,No tienes suficiente oro
not enough lumber,Not enough lumber,나무가 부족합니다,No tienes suficiente madera
not enough food,Not enough food,농장이 부족합니다,No tienes suficiente comida
castle,Castle,성,Castillo
farm,Farm,농장,Granja
barracks,Barracks,병영,Cuartel
lumbermill,Lumber mill,목재소,Aserradero
build lumbermill first,Build a lumbermill` first.,목재소를 먼저 건설해야 합니다,Construye un aserradero primero.
watcher tower,Watcher tower,감시탑,Torre de vigilancia
factory,Factory,공장,Fábrica
airport,Airport,공항,Aeropuerto
mine,Mine,금광,Mina
worker,Worker,일꾼,Trabajador
swordsman,Swordsman,검사,Espadachín
archer,Archer,궁수,Arquero
helicopter,Helicopter,드론병,Helicóptero
catapult,Catapult,투석기,Catapulta
,,,
resume,RESUME,계속하기,CONTINUAR
stage title 0,Begin a journey,여행의 시작,¡Que comience la aventura!
stage title 1,Raid of Orcs,오크의 습격,Incursión orca
stage title 2,Counter Attack,카운터 어택,Contraataque
stage title 3,Rise of Zombies,좀비의 등장,La aparición de los zombis
stage title 4,Help Orcs,오크를 구하라,Ayuda a los orcos
stage title 5,Alliance,동맹,Alianza
stage title 6,Zombies King,좀비의 왕,El rey zombi
stage title 7,Swarm of Zombies,좀비떼의 습격,Plaga de zombis
stage title 8,Rise in Revolt,반란군의 등장,Rebelión
stage title 9,Betrayer,배신자,Traidor
stage title 10,Hive of Zombies,좀비굴,Colmena de zombis
stage title 11,End of Zombies King,좀비왕의 최후,El fin del rey zombi
stage title story 0,Hello little angel. Granny has a very interesting story to bring you to a deep sleeping land. Once upon a time` there were Orcs and Humans doing war kind of crap. They were fighting each other since forever. They didn’t even know why they were fighting. They just do it because their daddies and mommies were doing it. Then one day! Boom! They became friends and friends. How? Because there was a huge pain in the nose rising from the north-east. But before we get there` you have to know how they build a farm and barracks. Then about training swordsmen. Are you ready? I hope you are ready. Let’s dig it with granny` sweety.,우리 귀여운 손자. 할미가 우리 애기 코~ 자라고 재밌는 이야기를 하나 해줄꺼에요. 겁나 기대되지요? (헤헤) 옛날 옛날 겁나 먼 옛날에 판교랑 정자에 오크족과 휴먼족이 살고 있었어요. 그것들은 틈만나면 쌈박질을 했지. 당췌 언제부터 그랬는지 그 시작을 알 수 없을 정도로 오랜 기간동안 쌈박질을 하고 있었어요. 우리 애기는 그런거 하면 안되요? 알겠지요? 아무튼 그들은 지들 애미애비가 전쟁질을 하니까 지들도 커서 아무 생각없이 전쟁질을 하고 있던게야. 그러던 어느날! 갑자기 휴먼과 오크가 친구가 된거에요! 어떻게 그런 일이 있을 수 있냐구? 왜냐면 북동쪽 오리 지역에서 골치아픈 공공의 적이 내려왔기 때문이야. 그 얘기를 하기 전에 그들이 어떻게 살았는지 할미가 알려줄게요? 어떻게 집을 짓고 어떻게 병사들을 훈련시켰는지 말이야.,"Hola, angelito. La abuelita tiene una historia muy interesante que te transportará a una tierra de ensueño. Érase una vez una época en la que orcos y humanos hacían movidas de la guerra y esas cosas. Llevaban desde siempre luchando entre ellos. La verdad es que ni siquiera sabían por qué luchaban, solo lo hacían porque sus papás y sus mamás lo hacían. Y, entonces, un día ¡Pumba! Se hicieron amigos. ¿Cómo? Pues, porque había un tocapelotas alzándose en el noreste. Pero antes de llegar a eso, tienes que saber cómo construían granjas y cuarteles y cómo entrenaban a sus espadachines. ¿Estás preparado? Espero que sí. Ven a echar un vistazo con la abuelita, cariño."
stage title story 1,Orcs are very aggressive race. But they are pretty much like human beings. They sometimes ask a question about why orcs eat and smell things. It means they have ego. Just like human beings` they also do art work like painting and making sculptures. But there is one thing they don’t have a question about why they are doing it. That is a fight. Nobody ever in history of Orcs has a question about why they have to fight. They just fight like animals make doodies after mill. That was just a natural behavior. So as usual` Orcs were happy thinking about a fight that will be placed on the day after. But Adun the newbie general of human side already knew about the fight Orcs’ plan. Thus he decided to attack them before the sunrise.,오크는 매우 호전적인 종족이야. 응? 호전적인게 뭐냐구? 쌈박질 좋아한다는 뜻이지. 흐흐. 그런데 그들도 인간과 많이 다르지는 않았어. 그들도 자신의 존재가치에 대한 질문을 던질 수 있을 만큼의 지성을 가진 종족이었지. 그들도 인간들처럼 그림도 그리고 조각도 하는 문명인이라는거야. 다만 하나 다른점이라면 그들은 쌈박질에 관해서라면 이유가 필요하지 않았지. 왜 싸우는지도 중요치 않았어. 그저 본능처럼 싸우는 거야. 싸울 상대가 없으면 지들끼리도 싸우곤 하지. 그런 그들이었으니. 다음날 펼쳐질 인간과의 전쟁을 기다리는 시간이 너무나도 즐거웠어. 하지만 휴먼족의 장군인 아둔 역시 싸우는 걸 무척이나 좋아했어. 하지만 지는게 너무 싫었던 그는 정면 싸움을 그리 즐기지는 않았어. 그래서 그는 약속된 전쟁의 전날밤에 오크를 기습하기로 결정한거야!,"Los orcos eran una raza muy agresiva, pero se parecían mucho a los humanos. A veces se preguntaban cosas como por qué comían u olían cosas, lo que quiere decir que eran conscientes de su existencia. Al igual que los humanos, también hacían trabajos artísticos, como pinturas y esculturas. Sin embargo, había una única cosa que no se cuestionaban; y esa era la lucha. Nunca nadie, en la historia de los orcos, se había preguntado por qué tenían que luchar. Para ellos, luchar era como respirar, estaba en su naturaleza. Así que, como siempre había sido, los orcos eran felices pensando en la batalla que tendría lugar el día siguiente. Sin embargo, Adun, el nuevo general de los humanos, ya sabía cuál era el plan de los orcos. Así que decidió atacarles antes del amanecer."
stage title story 2,It was not long after humans started enjoying their victory. Because Orcs are very nimble` it took a less than a few hours for the other Orcs to come to the battle field. It was impossible to win against hundreds of Ocrs. Adun only has a dozen of swordsmen and archers after the glorious battle. But lucky for Adun` Orcs are very upset. They don’t wait for the other troop. Once they arrived` they attack. So Adun does not have to fight against hundreds of Orcs at a single battle. It is just a battle against a few of Orcs for hundred times. But it is not easy. Orcs are very strong. Adun needs one more card. And he knew the best defense is the best attack. Orcs has a report that humans are defending themselves at their base. But humans are advancing forward and forward. Who do you think will win the battle?,휴먼족은 기습을 성공하고 지난 전투에서 승리를 거머쥐었지. 하지만 승리에 취해서 잠시 병사들을 그 자리에서 쉬게한 아둔의 결정은 정말 큰 실수였어. 발빠른 오크족은 동족의 패배 소식을 듣고 전장으로 출발했고` 그 수가 수백에 달하는 오크족 병사들이 전장으로 오고 있다는 첩보를 듣게 됐거든! 불행히도 아둔의 병력은 기습을 위해 기동성을 중시해서 그 숫자가 많이 않았어. 기껏해야 50명의 정예부대. 그마저도 전투에서 절반 이상을 잃었지. 하지만 아둔은 절망하지 않았어. 왜냐구? 아둔은 오크족을 잘 알고 있었거든. 싸움을 참지 못하는 오크족은 전장에 도착하는 족족 전투를 걸어오지. 아둔은 수백의 병력과 한 번에 전투를 벌이는 대신 10명도 되지 않는 적들과 수십번의 전투를 하면 되는 거였어. 하지만 그리 쉽지만은 않다는 것도 알고 있었지. 오크족은 전투를 좋아하는 만큼 아주 강한 전사들이거든.  그래서 아둔은 한 가지 방법을 떠올렸어. 그 자리에서 방어하는 것보다 적이 오는 방향으로 전진에서 매복을 하는 거였지. 과연 아둔은 이 전투도 이길 수 있을까?,"Los humanos no tardaron mucho en celebrar su victoria. Pero los orcos eran avispados y solo bastó con unas pocas horas para que otros orcos acudieran al campo de batalla. Era imposible ganar contra centenares de orcos y a  Adun solo le quedaban una docena de espadachines y arqueros tras la gloriosa batalla, pero, por suerte para Adun, los orcos estaban muy cabreados y atacaban según llegaban, sin esperar al resto de las tropas. De manera que Adun no tuvo que enfrentarse a centenares de orcos en una sola batalla. Solo a unos cientos de batallas contra unos pocos orcos en cada una. Sin embargo, no fue fácil, pues los orcos eran muy fuertes. Pero Adun tenía un as bajo la manga y sabía que la mejor defensa es un buen ataque. Los orcos informaron de que los humanos se estaban defendiendo en su base, pero en realidad avanzaban cada vez más. ¿Quién crees que ganará?"
stage title story 3,Orcs get serious damage fm the last battle against humans. Khalan the chief of Ocrs commands to concentrate all the troop. Yes. It is time to face the biggest battle ever. But wait! Who is it? Someone under weird mask shows up with his weird laughing sound. It took a few seconds before Adun recognized him. He is Lamington the legendary hero that was kicked from the army for having an affair with a female orc. Story tells he has been dead. But that is not true. He is alive and standing in front of Adun. Because he is a huge fan of the hero` Adun has so many questions for the hero. Why is he here? What is he doing here? Why is the mask so weird?,오크는 지난 전투에서 큰 피해를 입었어. 그제서야 오크 족장인 칼란은 동족들을 한데 모았지. 맞아. 흥분한 칼란은 온동족을 모아서 역사상 가장 큰 전쟁을 벌이려고 하고있어! 근데 이게 누구야? 가면을 쓴 이상한자가 그들을 가로막았어. 이상한 웃음소리를 내면서 말이야. 하지만 아둔은 한 번에 그를 알아보았지. 그는 여성오크와 사랑에 빠져 휴먼족에게서 추방당한 레밍턴 장군이었어! 그가 죽었다는 소문이 돌았지만 사실이 아니었던게지. 살아있는 그가 지금 아둔의 눈앞에 서있으니까 말이야. 아둔은 어릴적부터 레밍턴을 동경해왔어. 궁금한게 너무도 많았지만 지금 가장 궁금한 건 하나였지. 그 멋있던 레밍턴이 왜 저런 이상한 가면을 쓰고 있는걸까?,"Los orcos salieron bastante malparados de su última batalla contra los humanos. Khalan, el jefe de los orcos, ordenó reunir a todas sus tropas. Sí. Era el momento de enfrentarse a la mayor batalla jamás vista. ¡Espera un momento! ¿Quién era ese? Un misterioso enmascarado apareció con una risa macabra. Adun lo reconoció enseguida. Se trataba de Lamington, el héroe legendario que fue expulsado del ejército por tener un romance con una orca. Las historias contaban que estaba muerto. Al parecer se equivocaban, porque estaba vivo y frente a Adun. Como Adun era un gran fan del héroe, tenía muchas preguntas que hacerle. ¿Por qué estaba allí? ¿Para qué? ¿Por qué la máscara era tan rara?"
stage title story 4,Lamington is not bluffing. He actually has superior army than any of Orcs and humans. And the first target would be Orcs. Orcs are very aggressive and never pullback. But this time it is a little bit different. Orcs are terrified. They fear not on the field. But when it comes to ghost and zombies. They fear a lot. At that time` Adun realized humans can’t defeat Lamington’s army either. Humans has to conclude an alliance with Orcs. He hates Orcs. But zombies are the worst.,레밍턴의 말은 허풍이 아니었어. 정말로 그의 병력은 오크와 휴먼의 병력을 크게 상회하고 있었거든. 그리고 그 병력의 오크를 향해 가고 있었지. 오크는 용맹하고 전투에 있어서는 두려움을 몰랐지만 이 번엔 달랐어. 그 용맹하던 오크들이 겁을 먹었지. 죽는것도 두려워하지 않는 오크들도 무서운게 하나 있던거야. 바로 귀신들이지. 좀비도 그들이 보기엔 귀신같았던 거야. 오크들은 그들에게서 도망가기 바빴지. 같은 시간 아둔은 다른 생각을 하고 있었어. 레밍턴의 병력을 휴먼족만으로는 감당하기 어렵다는 걸 깨닫는데는 그리 오랜 시간이 걸리지 않았지. 레밍턴과의 전쟁을 이기기 위해선 오크와의 협력이 불가피하단 결론에 도달했던거야. 오크도 싫지만 좀비는 더 싫었거든.,"Lamington no iba de farol. Era cierto que su ejército era más grande que el de los orcos y los humanos. Y su primer objetivo serían los orcos. Los orcos eran muy agresivos y nunca se rinden, pero esta vez era diferente; estaban aterrorizados. No temían al campo de batalla, pero cuando se trata de fantasmas y zombis...se cagaban de miedo. En ese momento, Adun se dio  cuenta de que tampoco era capaz derrotar al ejército de Lamington. Los humanos tenían que fundar una alianza con los orcos. Adun los odiaba, pero los zombis eran lo peor."
stage title story 5,So Adun saved Orc troops. They both hate each other. But not now. Now` they have a common enemy. There is a saying that enemy’s enemy is my friend. Until the threat of zombies disappear` they decided to put all they power to clean the zombies out. Everything looks promising. But it wasn’t. He has no idea what’s coming next. Who’s he? Well` let’s find out.,그래서 아둔은 오크족을 도와 좀비와의 첫 전투를 승리로 이끌었어. 그들은 당장이라도 서로에게 무기를 들이대고 싶었지만 지금은 그럴때가 아니란걸 알고 있었지. 지금은 공공의 적이 있거든. 적의 적은 나의 아군이란 말도 있지. 뭐 대부분은 그렇지 않지만.(키키) 아무튼 그들은 좀비의 위협이 사라질 때까지 불가침조약을 맺었어. 모든게 희망적이었지. 마치 오크와 휴먼간의 긴 전쟁이 끝난 것처럼 말이야.,"De modo que Adun salvó a las tropas orcas. Ambos se odiaban, pero no era el momento para ello, tenían un enemigo común. Según el dicho, el enemigo de mi enemigo es mi amigo. Decidieron no darse por vencidos hasta que acabaran con los zombis. Todo parecía prometedor... Nada más lejos de la realidad. Adun no tenía ni idea de lo que se le venía encima. ¿Qué sería? Bueno, vamos a averiguarlo."
stage title story 6,One of Orcs troop accidentally witnessed Lamington is crawling in to a house that looks like his shelter. Did they find out his place? It that really Lamington’s house? It doesn’t matter. If they can catch him` the war is over. Nobody can possibly find a single reason to hesitate. Adun gathers good men and made them sneak into the zone.,오크 병사 중 하나가 레밍턴이 어떤 집으로 들어가는 걸 목격했다는 소식이 들려왔어. 그게 레밍턴의 집인지 잠시 들른건지는 알 수 없었지. 하지만 만약 그게 레밍턴의 집이고 그가 휴식을 취할 때 습격해서 레밍턴을 저지하면 이 전쟁을 끝낼수도 있는 일이었지. 물론 함정일 수도 있어. 하지만 그냥 놓치기에는 너무 아까운 기회였지. 그 누구도 망설일 이유를 찾지 못했어. 아둔은 즉시 기동대를 편성하고 그 지역으로 침투했어. 하지만 그 길목에는 좀비들이 가득했지! 정말 그 집은 레밍턴의 주둔지인걸까?,"Una de las tropas orcas vio, casi sin quererlo, como Lamington se arrastraba hasta una casa que parecía ser su refugio. ¿Habrían encontrado su guarida? ¿Sería realmente la casa de Lamington? No importaba; si lo atrapaban, la guerra se acabaría. Nadie podía encontrar una razón para echarse atrás. Adun juntó a sus mejores hombres y se infiltraron en la zona."
stage title story 7,The place they sneaked into was a trap. IT’S A TRAP! Swarm of zombies awaits them. It looks like there is no way out. A second before they gave up their lives` they saw a little light. God never gave up on them. The trap is in the forest which by the way looks really familiar to them. It was kind of a maze. Zombies stopped moving. Because they are not smart enough to break the  path. They have a final chance to break the situation.,그들이 침투한 지역은 역시나 함정이었어. 좀비떼가 그들을 기다리고 있었지. 빠져나갈 구멍은 하나도 보이지 않았어. 전투를 포기하고 무기를 내려놓으려던 찰나! 그들은 한 줄기 빛을 보았지. 아직 신은 그들에게서 시선을 떼지 않았던게야! 그 곳은 수 년전 그들이 야영했던 장소와 가까웠지. 마치 미로같았던 그들의 야영지. 그 숲이라면 좀비들에게서 시간을 벌고 전열을 재정비 할 수 있다 판단하고 그들은 그 숲으로 향했어.,"El lugar en el que se infiltraron era una trampa. ¡UNA TRAMPA! Una plaga de zombis les esperaba. Parecía no haber escapatoria. Un instante antes de darse por vencidos, vieron una lucecilla. Dios no les había abandonado todavía. La trampa estaba en un bosque que les resultaba familiar, parecía un laberinto. Los zombis se detuvieron porque no eran lo suficientemente listos como para averiguar el camino. Tenían una última oportunidad de darle la vuelta a la tortilla."
stage title story 8,Humans just survived through the critical trap. But who knows what’s coming next? An unexpected situation is waiting for them. Orcs were killing each other. Just before an axe of Orc made a knock knock joke on Adun’s heart. The other axe went through the Orc’s head. Some of Orcs hate Humans way more than they do Zombies. It was a revolt. Adun has no other option but help disable the revolt.,아둔은 겨우겨우 함정에서 빠져나왔어. 야영지에 있던 금광 때문에 더욱 강화된 병력과 함께 전장에서 당당히 돌아올 수 있었지. 하지만 이게 왠걸? 어처구니 없는 일들이 눈앞에 펼쳐지고 있는게 아니겠니? 오크들이 서로 싸우고 있던거야. 그러다 오크의 도끼가 아둔에게 날아오던 찰나에 칼란의 도끼가 날아와 아둔의 머리칼을 자르고 목을 향하던 도끼를 날려버렸어. 오크족 내에서 반란이 일어난거야. 좀비도 싫지만 휴먼족이 너무나도 싫었던 일부 오크족이 칼란에게 반기를 들었던게지. 좀비보다 휴먼이 더 싫은 오크도 있었던게야.,"Los humanos acababan de sobrevivir a una trampa mortal. Pero, ¿quién sabe qué vendría después? Una situación inesperada les aguardaba; los orcos se mataban entre ellos. Adun estaba perplejo. En ese momento, vio como un hacha orca se dirigía hacia su cabeza dispuesta a darle un beso de buenas noches, pero , de repente, otra hacha orca se interpuso para salvarle la vida; era el de Khalan. ¿Qué pasaba con los orcos?. Simple. Algunos odian a los humanos más que a los zombis. Era una rebelión y a Adun no le quedaba otra que pararla. "
stage title story 9,The revolt of Orc is disabled with a help of Human. But as I said` nobody knows what’s coming. This time. There is a trouble in an army of Humans. A betrayer was helping Lamington’s plan. Why? Because he doesn’t like the fact that Orcs and Humans getting along. He is so furious about that. He decided to help Lamington to extinguish Orcs and Humans on this planet. So stuipid` right?,휴먼의 도움으로 오크족의 반란군을 모두 무력화시킬 수 있었어. 하지만 이 다음에 무슨 일이 일어날지는 아무도 모르는 일. 이번엔 휴먼족 내에서 분란이 있었던게야. 배신자가 몰래 레밍턴을 돕고 있었지. 왜냐구? 반란을 일으켰던 오크와 같은 이유야. 오크에게 부모를 잃은 많은 병사들은 오크와의 동맹을 받아들일 수가 없었지. 오크의 적이 되길 원했던 그들은 오크와 동맹을 맺은 휴먼이 아닌 오크의 적. 바로 좀비들의 편에 섰던 것이지. 정말 바보같은 생각 아니니?,"Se neutralizó la rebelión de los orcos gracias a los humanos. Pero, como he dicho, nadie sabía qué estaba pasando. Esta vez había un problema dentro del ejército de los humanos. Un traidor había estado ayudando a Lamington con su plan. ¿Por qué? Porque no le hacía ninguna gracia que orcos y humanos se llevasen bien. Estaba tan cabreado que decidió ayudar a Lamington a erradicar tanto a orcos como a humanos de este planeta. Qué tontería, ¿no?"
stage title story 10,Now` there is no interruption between each other. Just Zombies vs Human and Orc alliance. At first` it looks like Zombies are so many like they will never stop coming up from the ground. And it is. They are endless. But there is a hive of zombies. Without the hive they can’t continue infecting dead bodies. And it is in front of Adun’s army. It is not going to be easy. But it is something Adun must face.,모든 분란이 사라지고 드디어 좀비와 오크 휴먼 동맹은 큰 전쟁을 앞두게 되었지. 휴먼과 오크는 좀비군대를 앞에 두고 생각했어. 처음엔 끝도 없어 보이던 좀비들이 지금도 끝도 없어 보이는거야! 사실이야 끝도 없어. 산사람은 물론 죽은 시체들까지 좀비로 일으켜세우니까 말이야. 하지만 멈출 수 있는 방법은 있지. 좀비 하이브. 그걸 없애면 시체들이 좀비화되는 걸 막을 수 있어. 그리고 아둔의 군대는 마침내 하이브 앞까지 도착했지. 이 전투가 쉽지는 않을꺼야. 하지만 피할 수도 없는 전투 이기도 하지.,"Ya no había nada que les parase los pies. Tan solo zombis contra la alianza de humanos y orcos. Al principio había tantos zombis que parecía que no pararan de salir del suelo. Y así era, eran incontables. Sin embargo vieron una colmena de zombis frente al ejército de Adun, si la destrozaban, dejaría de infectar a los cadáveres. No iba a ser fácil, pero era algo a lo que Adun tenía que enfrentarse."
stage title story 11,The hive of Zombies are gone. No more fresh zombies are rising. Just smashing current zombies will save the world. And maybe another war will begin between Human and Orc. But Adun is thinking Orc might change after this battle. Maybe they can live along just like they do now. So Adun is running to Zombies with a smile on his face thinking about a world without a war. But the biggest war on the history is reserved after this battle. Nobody knows what’s coming.,좀비 하이브가 사라졌어! 아둔의 전략이 성공한거지. 더 이상 싱싱한 좀비는 만들어지지 않을꺼야. 눈에 보이는 좀비들만 뭉개버리면 다시 좀비없는 세상이 오는거지.  좀비가 없는 세상에는 다시 오크와 휴먼의 전쟁이 자리를 잡겠지만. 아둔은 한 가지 희망을 가지고 있었어. 이 전투 후에 같이 싸운 서로를 동료로서 맞이하고 영원한 동맹을 맺는 희망 말이야! 지금처럼 어깨를 나란히 한 채 살아가는 휴먼과 오크를 생각하며 아둔은 요상한 미소를 머금은 채 좀비들을 향해 돌진했어. 이 전투가 세상의 마지막 전투이길 바라며! 어리석게도 말이야.,"La colmena de zombis fue destruida. No aparecían nuevos zombis, solo aplastar a los que quedaban salvaría el mundo. Y probablemente otra guerra entre orcos y humanos empezaría. Aunque Adun pensaba que los orcos podían cambiar tras esta batalla y, quizás, pudieran convivir como lo hacían en ese momento. De manera que se abalanzó contra los zombis con una sonrisa en la cara al pensar en un mundo sin guerras. Sin embargo, la mayor guerra de la historia aguardaba tras esta batalla. Nadie sabía qué sería lo próximo."
tutorial 0,Sweety. Welcome to the battle field. I will teach you how to battle. Select a worker. Look at the left side of this talk box. Workers look like this. Select one of them.,어서오렴. 전장에 온 걸 환영한다. 지금부터 뭘 어찌 해야되는지 가르쳐줄께. 우선 일꾼을 선택해보아라. 이 대화상자 왼쪽에 그림이 보이지? 저게 일꾼이란다. 한 명 선택해보렴.,"Bienvenido al campo de batalla, cariño. Te enseñaré a luchar. Selecciona un trabajador. Mira a la izquierda. Los trabajadores son así. Selecciona uno de ellos. "
tutorial 1,Good. And touch ground to make units MOVE.,좋아. 이제 땅을 터치해서 일꾼을 움직여보거라.,Bien. Toca el suelo para hacer que la unidad se MUEVA.
tutorial 2,And use your  two fingers to move the view.,두 손가락으로 화면을 움직일 수도 있어.,Y usa tus dos dedos para mover la cámara.
tutorial 3,Very good. He can gather gold. Find a gold mine. And send the selected worker to the mine. A mine looks like this. If you are confused. Just select a worker and select the mine. That’s it.,아주 좋아. 일꾼은 금을 캘 수 있단다. 금광을 찾아서 일꾼에게 일을 시키렴. 어떻게 하냐구? 간단해. 일꾼 선택하고 금광을 선택하면 된다다. 금광은 이렇게 생겼단다.,"Muy bien. Puede recoger oro. Encunetra una mina y envía al trabajador seleccionado a la mina. Por si estás un poco perdido, una mina es así. Solo selecciona un trabajador y selecciona la mina. Eso es. "
tutorial 4,Oh dear. You are good at this. aren’t you? Allll right. Now send worker to a tree. He can gather lumber as well. Make sure you checked the axe icon above the lumber you touched. It is just annoying when you find a worker resting under the tree forever!,오 마이! 정말 잘하는구나! 그래` 좋았어! 이제 놀고 있는 일꾼을 선택해서 나무를 해보자꾸나. 일꾼을 선택하고 나무를 선택하면 돼. 나무 위에 도끼 모양이 나타나야 제대로 일을 시작한거야. 가끔 나무 밑에서 놀고있는 일꾼들을 보면 화가 치밀어오르지!,"Oh, cariño. Se te da bien, ¿a que sí? Muyyy bien. Ahora envía a un trabajador a un árbol. También puede recoger madera. Asegúrate de que el icono de un hacha aparece sobre el árbol que has tocado. ¡Molesta encontrarse a los trabajadores descansando a la sombra de un árbol!"
tutorial 5,Goooood. Now. Let’s try building a farm. People must eat. The more farm you have. The more people you can get. Select the worker and select the build icon.,쪼오아. 이제 농장을 하나 지어볼까? 더 많은 인구를 확보하려면 농장이 많아야 한단다. 먹어야 살 것 아니니? 끌끌끌. 일꾼을 선택하고 건설 아이콘을 선택해보려무나.,"Bieeeeen. Ahora construyamos una granja. La gente tendrá que comer, ¿no?. Cuantas más granjas tengas, más gente podrás tener. Selecciona un trabajador y selecciona el icono para construir."
tutorial 6,Then select the farm. Look at the left. Farms look like this. Let’s build one.,이제 농장을 선택해보렴. 농장은 왼쪽의 그림처럼 생긴 건물이란다. 하나 지어보자꾸나.,Ahora selecciona la granja. Mira a la izquierda. Las granjas son así. Construyamos una.
