key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
premium retry,PREMIUM START,프리미엄 스타트,INIZIO PREMIUM,ПРЕМИУМ СТАРТ,INICIO PREMIUM,DÉPART PREMIUM,PREMIUM START,PREMIUM BAŞLANGIÇ,プレミアムステート,início premium
premium retry desc,Re-start this stage with resources,위 자원을 받고 시작하세요,Rinizia questo stage con le risorse,Перепройти уровень с ресурсами!,¡Reinicia el nivel con recursos!,Recommencer le niveau avec des ressources,Starte diesen Abschnit mit Resourcen neu,Bu bölümü kaynaklarla birlikte yeniden başlat.,この資源を受け取ってスタートしてください。,recomeçar esta missão com recursos
not enough barracks use gem,There is no barracks available. Do you want to use gems to finish the job?,모든 병영이 사용중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Non ci sono caserme disponibili. Vuoi usare le gemme per completare subito il lavoro?,"Нет доступных казарм. Вы хотите использовать гемы, чтобы закончить работу?",No hay cuarteles disponibles. ¿Quieres USAR GEMAS para realizar esta acción?,Aucune caserne disponible. Voulez vous utiliser des gemmes pour accélérer la tâche ?,"Es stehen keine Kasernen zur Verfügung. Willst du Edelsteine ​​verwenden, um den Auftrag zu beenden?",Boşta hiç baraka yok. İşi bitirmek için mücevher kullanmak ister misin?,全ての兵舎が使われています。宝石を使って今すぐ作業を完了しますか？,Não há quartéis disponíveis. Você quer usar gemas para terminar o trabalho?
not enough worker use gem,All workers are constructing. Do you want to use gems to finish the job?,모든 일꾼들이 작업중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Tutti i lavoratori sono impegnati. Vuoi usare le gemme per completare subito il lavoro?,"Все рабочие заняты. Вы хотите использовать гемы, чтобы закончить работу?",Todos los trabajadores están construyendo. ¿Quieres USAR GEMAS para realizar esta acción?,Tous les ouvriers sont occupés. Voulez-vous utiliser des gemmes pour accélérer la tâche ?,"Alle Arbeiter sind beschäftigt. Willst du Juwelen ​​verwenden, um den Auftrag zu beenden?",Tüm işçiler meşgul. İşi bitirmek için mücevher kullanmak ister misin?,全てのワーカーが作業しています。宝石を使って今すぐ作業を完了しますか？,Todos os trabalhadores estão ocupados. Quer usar gemas para terminar o trabalho?
already hired,This soldier is already hired.,이 병사는 이미 고용되었습니다.,Questo soldato è già stato ingaggiato.,Этот солдат уже нанят.,Este soldado ya está contratado.,Ce soldat est déjà recruté,Dieser Soldat ist bereit eingestellt.,Bu asker zaten alınmış.,この兵士はもう雇用されています。,este soldado já foi contratado
fire ask,Do you want to fire this soldier?,이 병사를 해고 하시겠습니까?,Vuoi mandare via questo soldato?,Хотите убрать солдата?,¿Quieres DESPEDIR este soldado?,Voulez-vous renvoyer ce soldat ?,Willst du diesen Soldaten entlassen?,Bu askeri atmak istiyor musun?,この兵士を解雇しますか？,quer despedir este soldado
yes,YES,예,SI,ДА,SI,OUI,JA,EVET,はい,sim
no,NO,아니오,NO,НЕТ,NO,NON,NEIN,HAYIR,いいえ,não
new soldiers,New soldiers are arriving,새로운 용병 등장까지 남은시간,Stanno arrivando nuovi soldati,Прибывают новые солдаты.,Los nuevos soldados están llegando,Nouveaux soldats,Neue Soldaten treffen ein,Yeni askerler geliyor,新しい傭兵の登場まで残り時間,novos soldados a chegar
deck,DECK,덱,MAZZO,КОЛОДА,CUBIERTA,PONT,DECK,DESTE,デッキ,baralho
inventory,INVENTORY,인벤토리,INVENTARIO,ИНВЕНТАРЬ,INVENTARIO,INVENTAIRE,INVENTAR,ÇANTA,インベントリー,inventario
inventory full,Not enough space in Inventory,인벤토리에 공간이 부족합니다,Non c'è abbastanza spazio nell'inventario,Нет места в Инвентаре.,No hay suficiente espacio en el inventario,Votre inventaire est plein,Nicht genügend Platz im Inventar,Çantada yer yok.,インベントリーの保存場所が空いていません。,não tem espaço no inventario
refresh,Refresh,새로고침,Aggiorna,Обновить,Actualizar,Actualiser,Aktualisieren,Yenile,更新,atualizar
surrender,Surrender,항복,Arresa,Сдаться,Rendición,Abandonner,Kapitulieren,Teslim ol,降参,desistir
next match,Next opponent,다음 상대,Prossimo avversario,След. соперник,Próximo oponente,Opposant suivant,Nächster Gegner,Sonraki rakip,次の相手,próximo adversário
select ground to place soldiers,Pressing empty ground will start the battle,빈 땅을 누르면 전투가 시작됩니다,Premi sul terreno vuoto per iniziare la battaglia,Нажатие на пустой участок начнёт битву.,"Para iniciar la batalla, presiona un espacio vacío",Appuyer sur un emplacement vide lance la bataille,Tippe auf eine freie Stelle um die Schlacht zu starten,Boş alana tıklamak savaşı başlatacaktır,空いている場所をタップすると戦闘が始まります。,selecionar chão vazio ira iniciar a batalha
not enough soliders,There is no soldier to attack.,공격 할 병사가 없습니다.,Non c'è nessun soldato da attaccare,Нет атакующих солдат.,No hay ningún soldado para atacar.,Aucun soldat à attaquer,Kein Soldat zum Angreifen verfügbar.,Saldıracak asker yok.,攻撃できる兵士がいません。,não há soldados para atacar
revenge,Revenge,반격,Rivincita,Отомстить,Venganza,Revanche,Rache,İntikam,反撃,vingança
defence record,Defence record,방어 기록,Record di difesa,Запись обороны,Registro de defensa,Record de défense,Verteidigungsprotokoll,Savunma rekoru,ディフェンス記録,recorde de defesa
top rank,Top rank,상위 순위,Primo posto,Топ рангов,Mejor rango,Meilleur rang,Höchster Rang,En üst sıra,ランキング,Top rank
visit,VISIT,방문,VISITA,ПОСЕТИТЬ,VISITAR,VISITER,BESUCHEN,ZİYARET ET,VISIT,visitar
sound,Sound,소리,Suono,Звук,Sonido,Son,Ton,Ses,サウンド,som
receive,Receive,받기,Ricevi,Получить,Recibir,Recevoir,Erhalten,Al,受け取る,receber
day 1,Day 1,1 일,Giorno 1,День 1,Día 1,Jour 1,Tag 1,1.gün,1日,dia 1
24 hours,24 hours,24 시간,24 ore,24 ч.,24 horas,24 heures,24 Stunden,24 saat,24時間,24 horas
6 hours,6 hours,6 시간,6 ore,6 ч.,6 horas,6 heures,6 Stunden,6 saat,６時間,6 horas
shield desc,Protecting your resources,자원 보호 중,Proteggere le tue risorse,Защита ваших ресурсов,Protección de sus recursos,Protéger vos ressources,Schutz Ihrer Ressourcen,Kaynaklarınızı Koruma,あなたのリソースを保護します,Protegendo seus recursos
expired,Expired,만료,Scaduto,Просрочено,Expirado,Expiré,Abgelaufen,Süresi doldu,期限切れ,Expirado
hero tutorial 0,Welcome to the hero page. Heroes will help you in the campaign. You can get a hero here.,영웅 페이지에 오신 것을 환영합니다. 영웅은 캠페인에서 당신의 귀중한 전력이 될 것입니다. 영웅을 얻어볼까요?,Benvenuto nella pagina dell'eroe. Gli eroi ti aiuteranno durante la campagna. Qui puoi ottenerne uno.,Добро пожаловать в раздел героев. Герои будут помогать вам в походе. Получать их можно здесь.,Bienvenido a la página de héroe. Héroes le ayudará en la campaña. Usted puede obtener un héroe aquí.,Bienvenue sur la page de héros. Heroes vous aidera dans la campagne. Vous pouvez obtenir un héros ici.,Willkommen auf der Helden Seite. Sie werden dir in der Kampagne weiterhelfen. Du kannst sie hier erhalten.,Kahraman sayfasına hoşgeldiniz. Kahramanlar size bu savaşta yardım edecekler. Buradan bir kahraman alabilirsin.,ヒーローのページへようこそ。英雄は、キャンペーンのお手伝いをします。あなたはここに英雄を得ることができます。,Bem-vindo à página do herói. Os heróis irão ajudá-lo na campanha. Você pode conseguir um herói aqui.
hero tutorial 1,Now you got a hero. You can move the hero to the deck. Only the heroes on the deck will appear in the campaign.,영웅을 얻었습니다! 하지만 영웅들을 덱으로 올려야먄 전투에 등장합니다.이제 영웅을 덱으로 옮겨볼까요?,Ora hai un eroe. Puoi spostare l'eroe nel mazzo. Solo gli eroi presenti nel mazzo appariranno nella campagna.,"Теперь вы получили героя, его можно поместить в колоду. Учтите, что помогать вам будут только герои, находящиеся в колоде.",Ahora que tienes un héroe. Se puede mover el héroe a la cubierta. Sólo los héroes en la cubierta aparecerán en la campaña.,"Maintenant, vous avez un héros. Vous pouvez déplacer le héros sur le pont. Seuls les héros sur le pont apparaîtront dans la campagne.",Jetzt hast du einen neuen Helden. Du kannst den Helden nun in das Deck ziehen. Nur die Helden im Deck werden dir der Kampagne zu Verfügung stehen.,"Şimdi, bir kahramanın oldu. Kahramanını destene koyabilirsin. Yalnızca destendeki kahramanlar savaşta yer alır.",今、あなたは英雄です。あなたはデッキに英雄を移動することができます。甲板上の唯一の英雄は、キャンペーンに表示されます。,Agora tem um herói. Pode mover o herói para o baralho. Apenas os heróis no baralho aparecerão na campanha.
hero tutorial 2,Good job! Now heroes are ready to aid your battle in the campaign.,잘 하셨습니다. 이제 영웅이 전투에 참가할 준비가 되었습니다.,Ottimo lavoro! Ora gli eroi sono pronti ad aiutarti nella campagna.,Хорошая работа! Теперь в бой вместе с вами пойдут ваши герои :),¡Buen trabajo! Ahora héroes están listos para ayudar a su batalla en la campaña.,"Bon travail! Maintenant, les héros sont prêts à aider votre combat dans la campagne.","Gut gemacht! Jetzt seind deine Helden bereit, dich im Kampf in der Kampagne zu unterstützen.","Aferin! Şimdi, kahramanlar bu savaşta senin yardımına koşmak için hazır ve nazırlar.",よくやった！今、英雄は、キャンペーンであなたの戦いを支援する準備が整いました。,"Bom trabalho! Agora, os heróis estão prontos para ajudar na campanha."
hero tutorial 3,Try collecting as many heroes as you can. Heroes can be more powerful by level-up and fusion. You should try it. Good luck!,가능한 많은 영웅을 수집해보세요. 레벨업과 합성으로 영웅을 강화할 수 있습니다. 그럼 행운을 빌겠습니다!,Cerca di raccogliere più eroi che puoi. Gli eroi acquiscono più forza quando salgono di levello e tramite la fusione. Provaci. Buona fortuna!,Старайтесь собрать как можно больше героев! Можно услить их засчёт повышения уровня и слияния. Обязательно опробуйте эти возможности. Удачи!,Intenta recoger tantos héroes como sea posible. Los héroes pueden ser más poderoso por subir de nivel y la fusión. Deberías probarlo. ¡Buena suerte!,Essayez autant de héros collecte que vous le pouvez. Heroes peut être plus puissant par niveau et fusion. Tu devrais l'essayer. Bonne chance!,Versuche so viele Helden wie möglich zu sammeln. Helden können mittels Levelaufstiegs und Fusion mächtiger werden. Du solltest es versuchen. Viel Glück!,Toplayabildiğin kadar fazla kahraman toplamaya çalış. Kahramanlar seviye atladıkça ve birleştikçe daha da güçlenir. Bunu denemelisin. İyi şanslar!,することができますように多くの英雄として収集してみてください。英雄はレベルアップと融合することで、より強力にすることができます。あなたはそれを試してみてください。幸運を！,Tente colecionar o máximo de heróis que puder. Os heróis podem ser mais poderosos com aumento de nível e fusão. Deveria tentar. Boa sorte!
battle record tutorial,"In this page, you can see who attacked you. Also you can check the top players and try attack them. If you do not want to lose any resource from battle, then use the shield to protect your resources.","이 페이지에서는 당신을 공격한 플레이어들을 확인할 수 있습니다. 또한 당신은 최고 랭킹 플레이어들의 마을을 방문하거나 공격할 수 있습니다. 그리고 배틀 모드에서 리소스를 잃고 싶지 않으면, 자원을 보호하기 위해 보호막을 사용할 수 있습니다!","In questa pagina puoi vedere chi ti ha attaccato. Puoi anche controllare i giocatori migliori e provare ad attaccarli. Se non vuoi perdere le risorse nella battaglia, usa lo scudo per proteggerle.","В этом разделе показывается, кто вас атаковал. Здесь же можно взглянуть на список лучших игроков и попробовать также напасть на них. Если вы боитесь потерять ресурсы в бою, воспользуйтесь щитом, который сохранит их.","En esta página, se puede ver que la atacó. También puede comprobar los mejores jugadores y tratar de atacarlos. Si no quiere perder ningún recurso de la batalla, a continuación, utilizar el escudo para proteger sus recursos.","Dans cette page, vous pouvez voir qui vous a attaqué. vous pouvez également consulter les meilleurs joueurs et essayer de les attaquer. Si vous ne voulez pas perdre toute ressource de bataille, puis utiliser le bouclier pour protéger vos ressources.","Auf dieser Seite kannst du sehen wer dich angegriffen hat. Auch kannst du die Top-Spieler einsehen und versuchen sie anzugreifen. Wenn du keine Ressourcen in der Schlacht verlieren willst, verwende das Schild um deine Ressourcen zu schützen.","Bu sayfada sana saldıranın kim olduğunu görebilirsin. Ayrıca en tepedeki oyuncuları kontrol edebilirsin ve onlara saldırmayı deneyebilirsin. Eğer savaşta hiç kaynak kaybetmek istemiyorsan, kaynaklarını korumak için kalkan kullan.",このページでは、あなたを攻撃した者を確認することができます。また、あなたはトップの選手をチェックして、それらを攻撃しようとすることができます。あなたは戦いから任意のリソースを失いたくない場合は、あなたのリソースを保護するためにシールドを使用しています。,"Nesta página, pode ver quem o atacou. Além disso, pode verificar os melhores jogadores e tentar atacá-los. Se não quiser perder nenhum recurso da batalha, use o escudo para proteger seus recursos."
daily mission 0,Win an Arena battle,아레나 전투 승리,Vinci una battaglia nell'Arena,Выиграйте битву на Арене,Gana una BATALLA EN ARENA,Gagner une bataille dans l'arène,Gewinne eine Arena Schlacht,Bir Arena savaşı kazan,アリーナバトルWIN,ganhe uma batalha na arena
daily mission 1,Win a CAMPAIGN,캠페인 승리,Vinci una CAMPAGNA,Выиграйте КАМПАНИЮ,Gana una CAMPAÑA,Gagner une campagne,Gewinne die Kampagne,Bir Savaş kazan,キャンペーンWIN,ganhe uma campanha
daily mission 2,Win a network battle,네트워크 전투를 승리,Vinci una battaglia online,Выиграйте сетевую битву,Gana una BATALLA ONLINE,Gagner une bataille en ligne,Gewinne eine Netzwerk Schlacht,Online bir savaş kazan,ネットワークバトルWIN,ganhe um batalha de rede
daily mission 3,Win a local battle,로컬 전투를 승리,Vinci una battaglia locale,Выиграйте локальную битву,Gana una BATALLA LOCAL,Gagner une bataille locale,Gewinnen eine lokale Schlacht,Yerel bir savaş kazan,ローカルバトルWIN,ganhe um batalha local
network battle,Network battle,네트워크 전투,Battaglia online,Сетевая битва,Batalla Online,Bataille en ligne,Netzwerk Schlacht,Online savaş,ネットワークバトル,batalha em rede
local battle,Local battle,로컬 전투,Battaglia locale,Локальная битва,Batalla Local,Bataille locale,Lokale Schlacht,Yerel savaş,ローカルバトル,batalha local
challenge,Challenge,도전,Sfida,Испытание,Desafío,Défi,Herausforderung,Meydan okuma,チャレンジ,desafio
daily mission,Daily mission,일일 임무,Missione del giorno,Ежедневн. миссии,Misión diaria,Mission journalière,Tägliche Mission,Günlük görev,デイリーミッション,missão diária
daily reward,Daily reward,매일 보상,Ricopensa giornaliera,Ежедневн. награды,Recompensa diaria,Récompense journalière,Tägliche Belohnung,Günlük ödül,デイリーリワード,premio diário
special offer,Special offer,특별 상품,Offerta speciale,Спецпредложение,Oferta especial,Offre spéciale,Sonderangebot,Özel teklif,特別なオファー,oferta especial
ask special offer last,Special offer expired. It is the last chance. Do you want to see the items?,특별 상품 제공 시간이 다 되었습니다. 마지막 기회입니다. 확인해보시겠습니까?,Offerta speciale scaduta. Hai l'ultima possibilità. Vuoi vedere gli articoli?,Спецпредложение истекает. Это последний шанс. Хотите посмотреть предметы?,La oferta especial ha expirado. ¡Es tu última oportunidad! Quieres VER LOS OBJETOS?,Offre spéciale expirée. C'est la dernière chance. Voulez vous voir les objets ?,Sonderangebot ist abgelaufen. Letzte Chance die Gegenstände zu sehen.,Özel teklifin süresi doldu. Bu son şansın. Eşyaları görmek istiyor musun?,特別オファーは有効期限が切れています。それは最後のチャンスです。あなたがアイテムを見たいですか？,A oferta especial expirou. É a última chance. Quer ver os itens?
upgrade castle alert,Unit's level can't exceed the castle's level.,유닛의 레벨은 성의 수준을 초과 할 수 없습니다.,Il livello delle unità non può superare quello del castello.,Уровень юнита не может быть выше уровня замка.,El NIVEL DE LA UNIDAD no puede pasarse del NIVEL DEL CASTILLO.,Le niveau des unités ne peut dépasser celui du château.,Das Einheitenlevel kann nicht das Burglevel überschreiten.,Birimin seviyesi kalenin seviyesini aşamaz.,ユニットLvは城のLvを超えることはできません。,o nível na unidade não pode ser maior que o nível do castelo
max level alert,Your already have reached the max level.,이미 최고 레벨에 도달했습니다.,Hai già raggiunto il livello massimo.,Вы достигли максимального уровня.,Ya has alcanzado el nivel máximo.,Vous avez atteint le niveau maximum.,Du hast bereits das Maximallevel erreicht.,Son seviyeye zaten ulaştın.,最大Lvです。,já chegou ao nível máximo
last chance,Last chance,마지막 기회,Ultima opportunità,Последний шанс!,¡Ultima oportunidad!,Dernière chance,Letzte Möglichkeit,Son şans,ラストチャンス,ultima hipótese
single play,Single Play,싱글 플레이,Un giocatore,Одиночная Игра,Un Jugador,Jeu solo,Einzelspieler,Tek oyunculu,シングルプレイ,Single Play
multi play,Multi Play,멀티 플레이,Multigiocatore,Мульти-Игра,Multijugador,Jeu multijoueur,Mehrspieler,Çok oyunculu,マルチプレイ,Multi Play
find match,Find Match,상대 찾기,Cerca scontro,Найти,Encontrar pareja,Trouver une partie,Finde Spiel,Maç bul,マッチング,encontrar partida
gem,Gem,보석,Gemma,Гемов,GEMA,Gemme,Juwel,Mücevher,宝石,Gema
or,Or,또는,Oppure,или за,O,Ou,Oder,Veya,または,ou
shop,Shop,상점,Negozio,Магазин,TIENDA,Magasin,Shop,Dükkan,ショップ,loja
log,Log,로그,Log,Журнал,Iniciar sesión,Connexion,Log,Giriş,ログ,log
daily,Daily,일일 보상,Giornaliero,Ежедневн.,Diario,Journalier,Täglich,Günlük,デイリーボーナス,diário
info,Info,정보,Informazione,Инфо,Información,Information,Info,Bilgi,情報,informação
training,Training,훈련,Allenamento,Тренинг,Entrenamiento,Entraînement,Training,Talim,訓練,treino
cut,Cut,베기,Taglia,Обрезка,Cortar,Couper,Schnitt,Kes,カット,cortar
upgrade,Upgrade,업그레이드,Upgrade,Улучшение,Potenciar,Amélioration,Upgrade,Yükselt,アップグレード,atualizar
complete,Complete,완료,Completo,Завершение,Completar,Terminé,Beendet,Tamamla,完了,completar
buy only once,You can buy this item only once.,이 상품은 한 번만 구매 가능합니다.,Puoi comprare questo articolo solo una volta.,Вы можете приобрести это только один раз.,Solo puedes comprar esto una vez.,Vous ne pouvez acheter cet objet qu'une seule fois.,Du kannst diesen Artikel nur einmal kaufen.,Bu eşyayı yalnızca bir kez alabilirsin.,この商品は１回のみ購入できます。,só pode comprar este item uma vez
information,Information,정보,Informazione,Информация,Información,Information,Information,Bilgi,訓練,informação
draw rate,Draw odds,뽑기 확률,Possibilità di sorteggio,Вероятность ничьей,Dibuje probabilidades,dessiner chances,Wahrscheinlichkeiten,Draw odds,ガチャ確率,probabilidade
defence record none,No defensive record. Use the protective shield to protect your resources.,방어 기록이 없습니다. 보호방패를 사용해 자원을 보호하세요.,Nessun registro di difesa. Usa lo scudo protettivo per proteggere le tue risorse.,"Отсутствует запись обороны. Используйте щит, сохраняющий ваши ресурсы.",Sin registro defensivo. Utilizar el escudo protector para proteger sus recursos.,Aucun enregistrement défensif. Utilisez le bouclier de protection pour protéger vos ressources.,Keine Defensive. Verwenden das Schutzschild um deine Ressourcen zu schützen.,Savunma kaydı yok. Kaynaklarını korumak için koruma kalkanını kullan.,防衛記録がありません。シールドで資源を守りましょう。,Nenhum registro defensivo. Use o escudo protetor para proteger seus recursos.
