key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
sort by rarity,Sort by rarity,희귀 순으로 정렬,Ordina per rarità,Сортиров. по редкости,Ordenar por rareza,Trier par rareté,Sortieren nach Seltenheit,Nadirliğe göre sırala,レア順で整列,ordenar por raridade
sort by slot,Sort by slot,슬롯을 기준으로 정렬,Ordina per slot,Сортиров. по слотам,Ordenar por ranura,Trier par fente,Sortieren nach Typ,Yuvaya göre sırala,スロット基準で整列,ordenar por campo
fusion,Fusion,합성,Fusione,Объедин.,Fusión,La fusion,Fusionieren,Birleştir,合成,fusão
hero,Hero,영웅,Eroe,Герой,Héroe,héros,Held,Kahraman,ヒーロー,herói
not enough slot,Not enough slots in the deck.,덱에 슬롯이 부족합니다.,Non hai abbastanza slot nel mazzo.,Не хватает слотов в колоде.,No hay suficientes ranuras de la cubierta.,Pas assez d'emplacements dans la plate-forme.,Nicht genügend Plätze im Deck frei.,Destende yeterli yuva yok.,デッキにスロットがありません。,não tem espaço no baralho
network reset,Network Reset,네트워크 재설정,Resetta Network,Сброс Данных,Restaurar red,Réinitialisation réseau,Netzwerk-Reset,Ağ Sıfırlama,ネットワーク再設定,Limpar a Rede
network reset warning,Network data will be erased. Scenario mode data is not affected. Do you want to continue?,네트워크 데이터를 초기화 합니다. 시나리오 모드 데이터는 초기화 되지 않습니다. 초기화 하시겠습니까?,I dati del Network veranno eliminati. Tuttavia i dati della modalità scenario non veranno modificati. Vuoi continuare?,Сетевые данные будут удалены. Данные режима кампании не затрагиваются. Продолжить?,Se borrarán los datos de la red. Los datos del modo de escenario no se ven afectados. ¿Quieres continuar?,Toutes les données en ligne vont être effacées. Le mode scenario n'est pas affecté. Voulez-vous continuer ?,Netzwerkdaten werden gelöscht. Szenariodaten sind davon nicht betroffen. Willst du fortfahren?,Ağ verileri silinecek. Senaryo modu bundan etkilenmeyecektir. Devam etmek istiyor musun?,ネットワークデータを初期化します。シナリオモードのデータは初期化されません。初期化しますか？,Os dados da rede serão apagados. Os dados do modo de cenário não são afetados. Você quer continuar?
you cannot build there,You can not build there,거기에 건축 할 수 없습니다.,Non puoi costruire qui.,Вы не можете строить здесь.,No se puede construir alli,Vous ne pouvez pas construire ici,Du kannst hier nicht bauen,Buraya inşa edemezsin,そこには建てられません。,não pode construir aqui
mission cleared,MISSION CLEARED,미션 성공,MISSIONE COMPLETATA,МИССИЯ ВЫПОЛНЕНА,MISIÓN COMPLETADA,MISSION RÉUSSIE,MISSION ABGESCHLOSSEN,GÖREV BAŞARIYLA TAMAMLANDI,ミッション成功,missão passada
mission failed,MISSION FAILED,미션 실패,MISSIONE FALLITA,МИССИЯ ПРОВАЛЕНА,MISIÓN FALLIDA,MISSION ÉCHOUÉE,MISSION FEHLGESCHLAGEN,GÖREV BAŞARISIZ,ミッション失敗,missão falhada
premium retry desc,Re-start this stage with resources,위 자원을 받고 시작하세요,Rinizia questo stage con le risorse,Перепройти уровень с ресурсами!,¡Reinicia el nivel con recursos!,Recommencer le niveau avec des ressources,Starte diesen Abschnit mit Resourcen neu,Bu bölümü kaynaklarla birlikte yeniden başlat.,この資源を受け取ってスタートしてください。,recomeçar esta missão com recursos
not enough barracks use gem,There is no barracks available. Do you want to use gems to finish the job?,모든 병영이 사용중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Non ci sono caserme disponibili. Vuoi usare le gemme per completare subito il lavoro?,"Нет доступных казарм. Вы хотите использовать гемы, чтобы закончить работу?",No hay cuarteles disponibles. ¿Quieres USAR GEMAS para realizar esta acción?,Aucune caserne disponible. Voulez vous utiliser des gemmes pour accélérer la tâche ?,"Es stehen keine Kasernen zur Verfügung. Willst du Edelsteine ​​verwenden, um den Auftrag zu beenden?",Boşta hiç baraka yok. İşi bitirmek için mücevher kullanmak ister misin?,全ての兵舎が使われています。宝石を使って今すぐ作業を完了しますか？,Não há quartéis disponíveis. Você quer usar gemas para terminar o trabalho?
not enough worker use gem,All workers are constructing. Do you want to use gems to finish the job?,모든 일꾼들이 작업중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Tutti i lavoratori sono impegnati. Vuoi usare le gemme per completare subito il lavoro?,"Все рабочие заняты. Вы хотите использовать гемы, чтобы закончить работу?",Todos los trabajadores están construyendo. ¿Quieres USAR GEMAS para realizar esta acción?,Tous les ouvriers sont occupés. Voulez-vous utiliser des gemmes pour accélérer la tâche ?,"Alle Arbeiter sind beschäftigt. Willst du Juwelen ​​verwenden, um den Auftrag zu beenden?",Tüm işçiler meşgul. İşi bitirmek için mücevher kullanmak ister misin?,全てのワーカーが作業しています。宝石を使って今すぐ作業を完了しますか？,Todos os trabalhadores estão ocupados. Quer usar gemas para terminar o trabalho?
already hired,This soldier is already hired.,이 병사는 이미 고용되었습니다.,Questo soldato è già stato ingaggiato.,Этот солдат уже нанят.,Este soldado ya está contratado.,Ce soldat est déjà recruté,Dieser Soldat ist bereit eingestellt.,Bu asker zaten alınmış.,この兵士はもう雇用されています。,este soldado já foi contratado
fire ask,Do you want to fire this soldier?,이 병사를 해고 하시겠습니까?,Vuoi mandare via questo soldato?,Хотите убрать солдата?,¿Quieres DESPEDIR este soldado?,Voulez-vous renvoyer ce soldat ?,Willst du diesen Soldaten entlassen?,Bu askeri atmak istiyor musun?,この兵士を解雇しますか？,quer despedir este soldado
yes,YES,예,SI,ДА,SI,OUI,JA,EVET,はい,sim
no,NO,아니오,NO,НЕТ,NO,NON,NEIN,HAYIR,いいえ,não
new soldiers,New soldiers are arriving,새로운 용병 등장까지 남은시간,Stanno arrivando nuovi soldati,Прибывают новые солдаты.,Los nuevos soldados están llegando,Nouveaux soldats,Neue Soldaten treffen ein,Yeni askerler geliyor,新しい傭兵の登場まで残り時間,novos soldados a chegar
deck,DECK,덱,MAZZO,КОЛОДА,CUBIERTA,PONT,DECK,DESTE,デッキ,baralho
inventory,INVENTORY,인벤토리,INVENTARIO,ИНВЕНТАРЬ,INVENTARIO,INVENTAIRE,INVENTAR,ÇANTA,インベントリー,inventario
inventory full,Not enough space in Inventory,인벤토리에 공간이 부족합니다,Non c'è abbastanza spazio nell'inventario,Нет места в Инвентаре.,No hay suficiente espacio en el inventario,Votre inventaire est plein,Nicht genügend Platz im Inventar,Çantada yer yok.,インベントリーの保存場所が空いていません。,não tem espaço no inventario
refresh,Refresh,새로고침,Aggiorna,Обновить,Actualizar,Actualiser,Aktualisieren,Yenile,更新,atualizar
surrender,Surrender,항복,Arresa,Сдаться,Rendición,Abandonner,Kapitulieren,Teslim ol,降参,desistir
next match,Next opponent,다음 상대,Prossimo avversario,След. соперник,Próximo oponente,Opposant suivant,Nächster Gegner,Sonraki rakip,次の相手,próximo adversário
revenge,Revenge,반격,Rivincita,Отомстить,Venganza,Revanche,Rache,İntikam,反撃,vingança
defence record,Defence record,방어 기록,Record di difesa,Запись обороны,Registro de defensa,Record de défense,Verteidigungsprotokoll,Savunma rekoru,ディフェンス記録,recorde de defesa
top rank,Top rank,상위 순위,Primo posto,Топ рангов,Mejor rango,Meilleur rang,Höchster Rang,En üst sıra,ランキング,Top rank
visit,VISIT,방문,VISITA,ПОСЕТИТЬ,VISITAR,VISITER,BESUCHEN,ZİYARET ET,VISIT,visitar
sound,Sound,소리,Suono,Звук,Sonido,Son,Ton,Ses,サウンド,som
receive,Receive,받기,Ricevi,Получить,Recibir,Recevoir,Erhalten,Al,受け取る,receber
day 1,Day 1,1 일,Giorno 1,День 1,Día 1,Jour 1,Tag 1,1.gün,1日,dia 1
24 hours,24 hours,24 시간,24 ore,24 ч.,24 horas,24 heures,24 Stunden,24 saat,24時間,24 horas
6 hours,6 hours,6 시간,6 ore,6 ч.,6 horas,6 heures,6 Stunden,6 saat,６時間,6 horas
shield desc,Protecting your resources,자원 보호 중,Proteggere le proprie risorse,Защита ваших ресурсов,Protegiendo sus recursos,Protéger vos ressources,Schutz Ihrer Ressourcen,Kaynaklarınızı korumak,リソースを保護する,Protegendo seus recursos
expired,Expired,만료,Scaduto,Просрочено,Expirado,Expiré,Abgelaufen,Süresi doldu,期限切れ,Expirado
oil,Oil,오일,Olio,масло,aceite,huile,Öl,yağ,オイル,Óleo
collect format,Collect {0} ({1}/{2}),{0} 모으기 ({1}/{2}),Raccogli {0} ({1}/{2}),Соберите {0} ({1}/{2}),Recoger {0} ({1}/{2}),Collecter {0} ({1}/{2}),Sammle {0} ({1}/{2}),{0} topla ({1}/{2}),{0} を集める ({1}/{2}),Colete {0} ({1}/{2})
mission start,Mission Start,미션 시작,Inizio missione,Начало миссии,Inicio de la misión,Début de la mission,Missionsstart,Görev Başlangıcı,ミッション開始,Início da Missão
win condition,Victory conditions,승리조건,Condizioni di vittoria,Условия победы,Condiciones de victoria,Conditions de victoire,Siegbedingungen,Zafer koşulları,勝利条件,Condições de vitória
survival format,Survival of {0},{0}의 생존,Sopravvivenza di {0},Выживание {0},Supervivencia de {0},Survie de {0},Überleben von {0},{0}'ın hayatta kalması,{0}の生存,Sobrevivência de {0}
destroy format,Remove all {0} {1},{0} {1} 모두 제거,Rimuovi tutti {0} {1},Удалить все {0} {1},Eliminar todo {0} {1},Supprimer tous les {0} {1},Entferne alle {0} {1},Tümünü kaldır {0} {1},{0}{1}すべて削除,Remover todos os {0} {1}
arrive format,{0} arrives at {1},{0}(이)가 {1}에 도착,{0} arriva a {1},{0} достигает {1},{0} llega a {1},{0} arrive à {1},{0} trifft bei {1} ein.,"{0}, {1}'e varıyor",{0}が{1}に到着しました,{0} chega em {1}
building count format,Construct x{1} {0},{0}을(를) x{1} 건설하기,Costruisci x{1} {0},Постройте x{1} {0},Construir x{1} {0},Construire x{1} {0},Konstruiere x{1} {0},x{1} {0}'ı oluşturun,{0}をx{1}にする,Construa x{1} {0}
oil extractor,oil drilling rig,오일 시추탑,piattaforma di perforazione petrolifera,буровая установка,plataforma de perforación petrolera,plateforme de forage pétrolier,Ölbohranlage,petrol sondaj kulesi,オイル掘削塔,plataforma de perfuração de petróleo
shipyard,shipyard,조선소,cantiere navale,верфь,astillero,chantier naval,Werft,tersane,造船所,estaleiro
oil refinery,oil refinery,오일 정제소,raffineria di petrolio,нефтеперерабатывающий завод,refinería de petróleo,raffinerie de pétrole,Ölraffinerie,petrol rafinerisi,オイル精製所,refinaria de petróleo
foundary,Foundry,주조소,Fonderia,Литейный завод,Fundición,Fonderie,Gießerei,Dökümhane,鋳造所,Fundição
flag,flag,깃발,bandiera,флаг,bandera,drapeau,Flagge,bayrak,旗,bandeira
ally,Allies,아군,Alleati,Союзники,Aliados,Alliés,Verbündete,Müttefikler,味方,Aliados
enemy,enemy,적군,nemico,враг,enemigo,ennemi,Feind,düşman,敵軍,inimigo
building,building,건물,edificio,здание,edificio,bâtiment,Gebäude,bina,建物,prédio
lamington,Lamington,레밍턴,Lamington,Ламингтон,Lamington,Lamington,Lamington,Lamington,ラミントン,Lamington
noah,Noah,노아,Noè,Ной,Noé,Noé,Noah,Nuh,ノア,Noé
khalan,Khalan,칼란,Khalan,Халан,Khalan,Khalan,Khalan,Khalan,カラン,Khalan
adun,Adun,아둔,Adun,Адун,Adún,Adun,Adun,Adun,アドゥン,Adun
assembly point,assembly point,집결지,punto di raccolta,точка сборки,punto de reunión,point de rassemblement,Sammelpunkt,toplanma noktası,集結地,ponto de montagem
stage1_1_0,Finally arrived.,드디어 도착했군.,Finalmente sono arrivato.,Наконец-то приехал.,Finalmente llegué.,Enfin arrivé.,Endlich angekommen.,Sonunda vardım.,ついに到着しました。,Finalmente cheguei.
stage1_1_1,Now we must rescue the hostages.,이제 인질들을 구해야 한다.,Ora dobbiamo liberare gli ostaggi.,Теперь мы должны освободить заложников.,Ahora debemos rescatar a los rehenes.,Il nous faut maintenant libérer les otages.,Nun müssen wir die Geiseln befreien.,Şimdi rehineleri kurtarmalıyız.,今、人質を救わなければなりません。,Agora precisamos resgatar os reféns.
stage1_1_2,"Be careful, there are hordes of orcs lying in ambush.",오크 무리들이 잠복해있으니 조심하도록.,"Fate attenzione, ci sono orde di orchi in agguato.","Будьте осторожны, здесь целые полчища орков устроили засаду.",¡Cuidado! Hay hordas de orcos al acecho.,"Attention, des hordes d'orcs sont en embuscade.","Vorsicht, Horden von Orks lauern im Hinterhalt.","Dikkatli olun, pusuya yatmış ork sürüleri var.",オークの群れが潜んでいるので注意してください。,"Cuidado, há hordas de orcs à espreita."
stage1_1_3,Watch out! It's a goblin!,조심해! 고블린이다!,Attenzione! È un folletto!,Осторожно! Это гоблин!,¡Cuidado! ¡Es un duende!,Attention ! C'est un gobelin !,Vorsicht! Es ist ein Kobold!,Dikkat edin! Bu bir goblin!,気をつけて！ゴブリンだ！,Cuidado! É um duende!
stage1_1_4,Is that oil? This looks like an unusual place.,저건 석유인가? 심상치 않은 곳이군.,È petrolio? Sembra un posto insolito.,Это нефть? Выглядит как необычное место.,¿Eso es petróleo? Este parece un lugar inusual.,C'est du pétrole ? Cet endroit a l'air bizarre.,Ist das Öl? Das sieht nach einem ungewöhnlichen Ort aus.,Bu petrol mü? Burası alışılmadık bir yere benziyor.,それは石油ですか？イメージしないところだね。,É petróleo? Parece um lugar estranho.
stage1_1_5,It's a horde of goblins! Everyone charge!,고블린 무리다! 모두 돌격!,È un'orda di goblin! Tutti all'attacco!,Это орда гоблинов! Все в атаку!,¡Es una horda de goblins! ¡Todos a la carga!,C'est une horde de gobelins ! À l'attaque !,Es ist eine Horde Goblins! Alle angreifen!,Cin sürüsü geldi! Herkes hücuma geçsin!,ゴブリンの群れだ！みんな突撃！,É uma horda de goblins! Todos para o ataque!
stage1_1_6,Thank you for coming!,와주셔서 감사합니다!,Grazie per essere venuti!,"Спасибо, что пришли!",¡Gracias por venir!,Merci d'être venus !,Vielen Dank fürs Kommen!,Geldiğiniz için teşekkür ederim!,来てくれてありがとう！,Obrigado por terem vindo!
stage1_1_7,We thought we were going to die.,우리는 죽는 줄 알았어요.,Pensavamo che saremmo morti.,"Мы думали, что умрём.",Pensábamos que íbamos a morir.,Nous pensions que nous allions mourir.,"Wir dachten, wir würden sterben.",Öleceğimizi sandık.,私たちは死ぬと思いました。,Pensamos que íamos morrer.
stage1_1_8,Do not thank me.,나에게 감사하지 말아라.,Non ringraziarmi.,Не благодарите меня.,No me des las gracias.,Ne me remerciez pas.,Danke mir nicht.,Bana teşekkür etmeyin.,私に感謝しないでください。,Não precisa me agradecer.
stage1_1_9,I just follow orders.,그저 명령을 따를 뿐이다.,Io mi limito a seguire gli ordini.,Я просто выполняю приказы.,Yo solo sigo órdenes.,Je ne fais qu'obéir aux ordres.,Ich befolge einfach nur Befehle.,Ben sadece emirleri yerine getiriyorum.,ただ命令に従うだけだ。,Eu apenas sigo ordens.
stage1_1_10,And what's with this bulk? Even an axe?,이 덩치는 또 뭐야? 도끼까지?,E cos'è tutta questa roba? Persino un'ascia?,Что это за громоздкость? Даже топор?,¿Y qué pasa con todo este bulto? ¿Incluso un hacha?,Et c'est quoi tout ce volume ? Même une hache ?,Und was soll diese Unmenge? Sogar eine Axt?,Bu kadar büyük bir yığın da neyin nesi? Balta bile mi var?,この塊はまた何ですか？斧まで？,E o que é isso? Até um machado?
stage1_1_11,I didn't hear anything about there being a bunker.,벙커까지 있다는 말은 못들었는데.,Non ho sentito nulla riguardo all'esistenza di un bunker.,Я ничего не слышал о наличии там бункера.,No he oído nada sobre la existencia de un búnker.,Je n'ai rien entendu parler d'un bunker.,"Ich habe nichts davon gehört, dass es dort einen Bunker geben soll.",Orada bir sığınak olduğuna dair hiçbir şey duymadım.,バンカーまであるという言葉は聞こえなかったけど。,Não ouvi falar nada sobre a existência de um bunker.
stage1_1_12,"General Adun, this fellow was trying to play a trick on me.",아둔장군 이 녀석이 날 골탕먹이려고 했군.,"Generale Adun, questo tizio stava cercando di farmi uno scherzo.","Генерал Адун, этот парень пытался меня подколоть.","General Adun, este tipo estaba tratando de gastarme una broma.","Général Adun, ce type essayait de me jouer un tour.","General Adun, dieser Kerl wollte mir einen Streich spielen.","General Adun, bu adam bana oyun oynamaya çalışıyordu.",鈍将軍この奴が私を骨董餌にしようとした。,"General Adun, esse sujeito estava tentando me pregar uma peça."
stage1_1_13,I'm going to kick his ass when I get back.,돌아가면 엉덩이를 걷어차줘야 겠어.,Gli spaccherò il culo quando tornerò.,"Я ему задницу надеру, когда вернусь.",Voy a patearle el trasero cuando regrese.,Je vais lui botter le cul quand je rentrerai.,"Ich werde ihm in den Arsch treten, wenn ich zurückkomme.",Geri döndüğümde onun ağzını burnunu dağıtacağım.,帰ればお尻を蹴ってくれるはずだ。,Vou dar uma surra nele quando voltar.
stage1_2_0,So you're saying Adun told you to build an outpost here?,아둔이 여기에 전초기지를 건설하라고 했단 말이지?,Quindi stai dicendo che Adun ti ha ordinato di costruire un avamposto qui?,"То есть вы хотите сказать, что Адун велел вам построить здесь аванпост?",¿Entonces estás diciendo que Adun te dijo que construyeras un puesto de avanzada aquí?,Vous voulez dire qu'Adun vous a ordonné de construire un avant-poste ici ?,"Du meinst also, Adun hat dir befohlen, hier einen Außenposten zu errichten?",Yani Adun size buraya bir karakol kurmanızı mı söyledi?,アドンがここに前哨基地を建設するように言ったのでしょうか？,Então você está dizendo que Adun lhe disse para construir um posto avançado aqui?
stage1_2_1,"That is correct, General.","그렇습니다, 장군님.","Esatto, Generale.","Верно, генерал.","Así es, General.","C'est exact, Général.","Das ist richtig, General.","Doğru, General.",はい、将軍様。,"Isso mesmo, General."
stage1_2_2,That's ridiculous.,어이가 없군.,È ridicolo.,Это нелепо.,Eso es ridículo.,C'est ridicule.,Das ist lächerlich.,Bu çok saçma.,ちょっとない。,Isso é ridículo.
stage1_2_3,"If you go a little further, you will find the base.",조금 더 가면 기지가 나옵니다.,"Se proseguite un po' oltre, troverete la base.","Если пройти немного дальше, то найдешь базу.","Si sigues un poco más allá, encontrarás la base.","Si vous allez un peu plus loin, vous trouverez la base.","Wenn Sie noch ein Stück weitergehen, finden Sie den Stützpunkt.","Biraz daha ilerlerseniz, üssü bulacaksınız.",もう少し進むと基地が出ます。,"Se você for um pouco mais adiante, encontrará a base."
stage1_2_4,It can't be helped. Let's go find the base.,어쩔 수 없지. 기지를 찾으러 가자.,Non c'è niente da fare. Andiamo a cercare la base.,Ничего не поделаешь. Пойдём найдём базу.,No hay nada que hacer. Vamos a buscar la base.,On n'y peut rien. Allons trouver la base.,Da lässt sich nichts machen. Lasst uns die Basis suchen.,Yapacak bir şey yok. Gidip üssü bulalım.,仕方ない。基地を探しに行こう,Não tem jeito. Vamos encontrar a base.
stage1_2_5,It looks like the enemy has caught on.,적군이 눈치를 챈 것 같군.,Sembra che il nemico se ne sia accorto.,"Похоже, противник всё понял.",Parece que el enemigo se ha dado cuenta.,Il semblerait que l'ennemi ait compris.,"Es sieht so aus, als hätte der Feind es begriffen.",Görünüşe göre düşman durumu fark etmiş.,敵軍が気づいたらしい。,Parece que o inimigo percebeu.
stage1_2_6,Orcs are also building a base.,오크도 기지를 건설하고 있다.,Anche gli orchi stanno costruendo una base.,Орки тоже строят базу.,Los orcos también están construyendo una base.,Les orcs sont également en train de construire une base.,Die Orks bauen ebenfalls eine Basis.,Orklar da bir üs inşa ediyorlar.,オークも基地を建設している。,Os orcs também estão construindo uma base.
stage1_2_7,Tell Adun. It looks like a major battle is about to break out.,아둔에게 알려라. 곧 큰 전투가 벌어질 것 같다.,Dillo ad Adun. Sembra che stia per scoppiare una grande battaglia.,"Передайте Адуну. Похоже, вот-вот разразится крупное сражение.",Díselo a Adun. Parece que está a punto de estallar una gran batalla.,Prévenez Adun. On dirait qu'une bataille majeure est sur le point d'éclater.,"Sag es Adun. Es sieht so aus, als stünde eine große Schlacht bevor.",Adun'a söyle. Büyük bir savaşın patlak vermek üzere olduğu anlaşılıyor.,アドンに教えてください。すぐに大きな戦闘が起こりそうだ。,Diga a Adun. Parece que uma grande batalha está prestes a começar.
stage1_2_8,It looks like this is a base.,여기가 기지인 것 같네.,Sembra che questa sia una base.,"Похоже, это подставка.",Parece que esto es una base.,On dirait une base.,Das sieht nach einem Stützpunkt aus.,Burası bir üs gibi görünüyor.,ここが基地のようだね。,Parece que isto é uma base.
stage1_2_9,Are there goblins here too?,여기도 고블린인가?,Ci sono goblin anche qui?,А здесь тоже есть гоблины?,¿Aquí también hay duendes?,Y a-t-il des gobelins ici aussi ?,Gibt es hier auch Kobolde?,Burada da goblinler var mı?,ここもゴブリンですか？,Há também goblins por aqui?
stage1_2_10,It seems the enemies have surrounded us.,적들이 우리를 포위한 것 같다.,Sembra che i nemici ci abbiano accerchiato.,"Похоже, враги окружили нас.",Parece que los enemigos nos han rodeado.,Il semble que les ennemis nous aient encerclés.,"Es scheint, als hätten uns die Feinde umzingelt.",Görünüşe göre düşmanlar bizi kuşatmış durumda.,敵は私たちを包むようです。,Parece que os inimigos nos cercaram.
stage1_2_11,"As expected, we are surrounded.",역시 포위되었군.,"Come previsto, siamo circondati.","Как и ожидалось, мы окружены.","Como era de esperar, estamos rodeados.","Comme prévu, nous sommes encerclés.","Wie erwartet, sind wir umzingelt.","Beklendiği gibi, etrafımız sarılı.",やはり包囲されたね。,"Como esperado, estamos cercados."
stage1_2_12,A bunker here?,여기에 벙커가?,Un bunker qui?,Здесь бункер?,¿Un búnker aquí?,Un bunker ici ?,Ein Bunker hier?,Burada bir sığınak mı var?,ここにバンカーは？,Um bunker aqui?
stage1_3_0,Why is there a river here?,여기에 왠 강이 있지?,Perché c'è un fiume qui?,Почему здесь река?,¿Por qué hay un río aquí?,Pourquoi y a-t-il une rivière ici ?,Warum gibt es hier einen Fluss?,Burada neden bir nehir var?,ここに何の川がありますか？,Por que existe um rio aqui?
stage1_3_1,Huh? Is that an oil landfill?,응? 저건 석유 매립지인가?,Eh? Quella è una discarica di petrolio?,"А? Это что, нефтяная свалка?",¿Eh? ¿Eso es un vertedero de petróleo?,Hein ? C'est une décharge de pétrole ?,Hä? Ist das eine Öldeponie?,Ha? Burası petrol atık sahası mı?,うん？それは石油埋立地ですか？,Hein? Isso é um aterro de petróleo?
stage1_3_2,That's strange.,이상한 일이군.,È strano.,Это странно.,Eso es extraño.,C'est étrange.,Das ist seltsam.,Bu garip.,変なことだね。,Que estranho.
